-1,99.80%,99.41%,99.34%,45
-1,99.80%,99.41%,99.34%,40
-1,99.80%,99.41%,99.34%,50
-1,99.79%,99.31%,99.34%,35
-1,99.77%,99.20%,99.34%,30
-1,99.74%,99.00%,99.34%,25
-1,99.73%,99.00%,99.24%,20
-1,99.70%,98.79%,99.21%,15
-1,99.54%,97.98%,99.00%,10
-1,98.98%,94.68%,98.60%,5
-1,98.95%,94.58%,98.51%,4.8
-1,98.95%,94.58%,98.51%,4.9
-1,98.91%,94.27%,98.51%,4.7
-1,98.89%,94.17%,98.50%,4.4
-1,98.89%,94.17%,98.50%,4.5
-1,98.89%,94.17%,98.50%,4.3
-1,98.89%,94.27%,98.42%,4.6
-1,98.88%,94.08%,98.50%,4.2
-1,98.85%,93.98%,98.39%,4
-1,98.85%,93.98%,98.39%,4.1
-1,98.83%,93.87%,98.39%,3.9
-1,98.77%,93.57%,98.28%,3.8
-1,98.73%,93.29%,98.28%,3.7
-1,98.69%,93.10%,98.28%,3.6
-1,98.65%,92.80%,98.28%,3.5
-1,98.65%,92.80%,98.28%,3.4
-1,98.62%,92.58%,98.27%,3.2
-1,98.60%,92.49%,98.27%,3.3
-1,98.59%,92.49%,98.16%,3.1
-1,98.56%,92.40%,98.06%,3
-1,98.53%,92.28%,97.94%,2.9
-1,98.45%,91.76%,97.93%,2.8
-1,98.41%,91.56%,97.83%,2.7
-1,98.39%,91.47%,97.83%,2.6
-1,98.38%,91.47%,97.74%,2.5
-1,98.36%,91.38%,97.74%,2.4
-1,98.29%,90.97%,97.63%,2.3
-1,98.22%,90.59%,97.61%,2.2
-1,98.18%,90.28%,97.61%,2.1
-1,98.18%,90.28%,97.61%,2.1
-1,98.06%,89.68%,97.38%,1.9
-1,98.04%,89.68%,97.28%,2
-1,98.01%,89.46%,97.29%,1.8
-1,97.97%,89.17%,97.28%,1.7
-1,97.88%,88.66%,97.16%,1.6
-1,97.75%,87.98%,97.04%,1.5
-1,97.63%,87.21%,97.02%,1.4
-1,97.48%,86.23%,96.99%,1.3
-1,97.37%,85.64%,96.84%,1.2
-1,97.30%,85.13%,96.82%,1.1
-1,97.03%,83.65%,96.44%,1
-1,96.83%,82.76%,95.96%,0.9
-1,96.68%,81.89%,95.86%,0.8
-1,96.54%,81.23%,95.58%,0.7
-1,96.37%,80.02%,95.65%,0.6
-1,96.28%,78.77%,96.37%,0.5
-1,96.05%,76.68%,96.96%,0.4
-1,95.51%,73.01%,97.05%,0.3
-1,94.69%,66.94%,97.68%,0.2
-1,92.93%,54.29%,99.45%,0.1
